City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,Ilulissat,GL,69.2167,-51.1,46.42,87,75,2.3,broken clouds
331,Santa Luzia,BR,-19.7697,-43.8514,74.48,51,0,3.44,clear sky
332,Leshukonskoye,RU,64.8989,45.7622,63.68,86,9,4.29,clear sky
333,Port-Cartier,CA,50.0334,-66.8654,71.28,59,53,4.32,broken clouds
334,Duku,NG,11.2361,4.9073,72.61,84,99,2.1,overcast clouds
335,De Aar,ZA,-30.6497,24.0123,48.74,49,80,2.26,broken clouds
336,Ponta Pora,BR,-22.5361,-55.7256,61.12,66,83,5.1,broken clouds
337,Timmins,CA,48.4669,-81.3331,67.82,68,75,4.61,broken clouds
338,Pembroke,CA,45.8168,-77.1162,68.18,72,0,3.31,clear sky
339,Peace River,CA,56.2501,-117.286,71.91,40,20,18.41,few clouds
340,Campos Gerais,BR,-21.235,-45.7586,65.64,48,8,2.28,clear sky
341,Lorengau,PG,-2.0226,147.2712,84.38,69,53,4.43,broken clouds
342,Nome,US,64.5011,-165.4064,55.47,67,100,10.36,overcast clouds
343,Eskisehir,TR,39.7767,30.5206,66.11,100,40,5.75,scattered clouds
344,Saint-Augustin,CA,51.226,-58.6502,63.27,48,2,11.32,clear sky
345,Yidu,CN,24.1614,115.1328,85.19,70,24,1.41,few clouds
